sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type,refer_boost_type_tri,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0116-1,r0,2,2_04,7,2_05,5,2.5,-2.5,2.5,ahead_gap,gap,referred,referred,1,1.0,0.0,2_05_2.5,1.5,-0.75
0116-1,r0,2,2_04,7,2_05,5,2.5,-2.5,2.5,ahead_gap,gap,same_seg,neighbor,1,1.0,0.0,2_05_2.5,1.5,-0.75
0116-1,r0,2,2_04,7,2_05,5,3.0,-2.0,2.0,ahead_main,main,referred,referred,2,2.0,0.0,2_05_3.0,1.5,-1.25
0116-1,r0,2,2_04,7,2_05,5,3.0,-2.0,2.0,ahead_main,main,same_seg,neighbor,2,2.0,0.0,2_05_3.0,1.5,-1.25
0116-1,r0,2,2_04,7,2_05,5,3.5,-1.5,1.5,ahead_gap,gap,neighbor,neighbor,2,2.0,0.0,2_05_3.5,1.5,-1.75
0116-1,r0,2,2_04,7,2_05,5,4.0,-1.0,1.0,target,main,neighbor,neighbor,4,4.0,0.0,2_05_4.0,1.5,-2.25
0116-1,r0,2,2_04,7,2_05,5,4.5,-0.5,0.5,gap,gap,referred,referred,4,4.0,0.0,2_05_4.5,1.5,-2.75
0116-1,r0,2,2_04,7,2_05,5,4.5,-0.5,0.5,gap,gap,same_seg,neighbor,2,2.0,0.0,2_05_4.5,1.5,-2.75
0116-1,r0,2,2_06,5,2_07,7,1.0,-6.0,6.0,ahead_main,main,none,none,4,3.5,0.0,2_07_1.0,-0.5,2.75
0116-1,r0,2,2_06,5,2_07,7,1.5,-5.5,5.5,ahead_gap,gap,none,none,6,6.0,0.0,2_07_1.5,-0.5,2.25
0116-1,r0,2,2_06,5,2_07,7,2.0,-5.0,5.0,ahead_main,main,neighbor,neighbor,5,4.5,0.0,2_07_2.0,-0.5,1.75
0116-1,r0,2,2_06,5,2_07,7,2.5,-4.5,4.5,ahead_gap,gap,referred,referred,1,1.0,0.0,2_07_2.5,-0.5,1.25
0116-1,r0,2,2_06,5,2_07,7,2.5,-4.5,4.5,ahead_gap,gap,same_seg,neighbor,1,1.0,0.0,2_07_2.5,-0.5,1.25
0116-1,r0,2,2_06,5,2_07,7,3.0,-4.0,4.0,ahead_main,main,referred,referred,2,2.0,0.0,2_07_3.0,-0.5,0.75
0116-1,r0,2,2_06,5,2_07,7,3.0,-4.0,4.0,ahead_main,main,same_seg,neighbor,2,2.0,0.0,2_07_3.0,-0.5,0.75
0116-1,r0,2,2_06,5,2_07,7,3.5,-3.5,3.5,ahead_gap,gap,neighbor,neighbor,2,2.0,0.0,2_07_3.5,-0.5,0.25
0116-1,r0,2,2_06,5,2_07,7,4.0,-3.0,3.0,ahead_main,main,neighbor,neighbor,4,4.0,0.0,2_07_4.0,-0.5,-0.25
0116-1,r0,2,2_06,5,2_07,7,4.5,-2.5,2.5,ahead_gap,gap,referred,referred,1,1.0,1.0,2_07_4.5,-0.5,-0.75
0116-1,r0,2,2_06,5,2_07,7,4.5,-2.5,2.5,ahead_gap,gap,same_seg,neighbor,5,5.0,0.0,2_07_4.5,-0.5,-0.75
0116-1,r0,2,2_06,5,2_07,7,5.0,-2.0,2.0,ahead_main,main,neighbor,neighbor,10,8.0,3.5,2_07_5.0,-0.5,-1.25
0116-1,r0,2,2_06,5,2_07,7,5.5,-1.5,1.5,ahead_gap,gap,none,none,3,3.0,0.0,2_07_5.5,-0.5,-1.75
0116-1,r0,2,2_06,5,2_07,7,6.0,-1.0,1.0,target,main,neighbor,neighbor,5,4.5,1.0,2_07_6.0,-0.5,-2.25
0116-1,r0,2,2_06,5,2_07,7,6.5,-0.5,0.5,gap,gap,referred,referred,4,4.0,1.0,2_07_6.5,-0.5,-2.75
0116-1,r0,2,2_06,5,2_07,7,6.5,-0.5,0.5,gap,gap,same_seg,neighbor,2,2.0,0.0,2_07_6.5,-0.5,-2.75
0116-1,r0,2,2_08,3,2_09,9,1.0,-8.0,8.0,ahead_main,main,none,none,4,3.5,0.0,2_09_1.0,-2.5,4.75
0116-1,r0,2,2_08,3,2_09,9,1.5,-7.5,7.5,ahead_gap,gap,none,none,6,6.0,0.0,2_09_1.5,-2.5,4.25
0116-1,r0,2,2_08,3,2_09,9,2.0,-7.0,7.0,ahead_main,main,neighbor,neighbor,5,4.5,0.0,2_09_2.0,-2.5,3.75
0116-1,r0,2,2_08,3,2_09,9,2.5,-6.5,6.5,ahead_gap,gap,neighbor,neighbor,2,2.0,0.0,2_09_2.5,-2.5,3.25
0116-1,r0,2,2_08,3,2_09,9,3.0,-6.0,6.0,ahead_main,main,referred,referred,1,1.0,0.0,2_09_3.0,-2.5,2.75
0116-1,r0,2,2_08,3,2_09,9,3.0,-6.0,6.0,ahead_main,main,same_seg,neighbor,3,3.0,0.0,2_09_3.0,-2.5,2.75
0116-1,r0,2,2_08,3,2_09,9,3.5,-5.5,5.5,ahead_gap,gap,neighbor,neighbor,2,2.0,0.0,2_09_3.5,-2.5,2.25
0116-1,r0,2,2_08,3,2_09,9,4.0,-5.0,5.0,ahead_main,main,neighbor,neighbor,4,4.0,0.0,2_09_4.0,-2.5,1.75
0116-1,r0,2,2_08,3,2_09,9,4.5,-4.5,4.5,ahead_gap,gap,referred,referred,1,1.0,0.0,2_09_4.5,-2.5,1.25
0116-1,r0,2,2_08,3,2_09,9,4.5,-4.5,4.5,ahead_gap,gap,same_seg,neighbor,5,5.0,0.0,2_09_4.5,-2.5,1.25
